S.No.,State ,City,ICAO,FAA,IATA,Airport,Role,Enplanements
240,New York,Asheville,KAVL,AVL,AVL,Asheville Regional Airport,P-S,573206
241,North Carolina,Charlotte,KCLT,CLT,CLT,Charlotte Douglas International Airport,P-L,22281949
242,North Carolina,Concord,KJQF,JQF,USA,Concord-Padgett Regional Airport,P-N,147065
243,North Carolina,Fayetteville,KFAY,FAY,FAY,Fayetteville Regional Airport (Grannis Field),P-N,234998
244,North Carolina,Greensboro,KGSO,GSO,GSO,Piedmont Triad International Airport,P-S,938593
245,North Carolina,Greenville,KPGV,PGV,PGV,Pitt–Greenville Airport,P-N,51599
246,North Carolina,Jacksonville,KOAJ,OAJ,OAJ,Albert J. Ellis Airport,P-N,152448
247,North Carolina,New Bern,KEWN,EWN,EWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,111172
248,North Carolina,Raleigh,KRDU,RDU,RDU,Raleigh–Durham International Airport,P-M,6258101
249,North Carolina,Wilmington,KILM,ILM,ILM,Wilmington International Airport,P-S,468816
250,North Carolina,Bismarck,KBIS,BIS,BIS,Bismarck Municipal Airport,P-N,215056
251,North Dakota,Dickinson,KDIK,DIK,DIK,Dickinson Theodore Roosevelt Regional Airport,P-N,17506
252,North Dakota,Fargo,KFAR,FAR,FAR,Hector International Airport,P-S,408477
253,North Dakota,Grand Forks,KGFK,GFK,GFK,Grand Forks International Airport,P-N,69800
254,North Dakota,Jamestown,KJMS,JMS,JMS,Jamestown Regional Airport,P-N,12804
255,North Dakota,Minot,KMOT,MOT,MOT,Minot International Airport,P-N,126575
256,North Dakota,Williston,KXWA,XWA,XWA,Williston Basin International Airport,P-N,46577
257,North Dakota,Akron / Canton,KCAK,CAK,CAK,Akron-Canton Regional Airport,P-N,449731
374,Northern Marianas,Cleveland,KCLE,CLE,CLE,Cleveland Hopkins International Airport,P-M,4701713
375,Northern Marianas,Columbus,KCMH,CMH,CMH,John Glenn Columbus International Airport,P-M,3976620
258,Ohio,Columbus,KLCK,LCK,LCK,Rickenbacker International Airport,P-N,154475
259,Ohio,Dayton,KDAY,DAY,DAY,James M. Cox Dayton International Airport,P-S,858022
260,Ohio,Toledo,KTOL,TOL,TOL,Eugene F. Kranz Toledo Express Airport,P-N,123541
261,Ohio,Lawton,KLAW,LAW,LAW,Lawton–Fort Sill Regional Airport,P-N,48086
262,Ohio,Oklahoma City,KOKC,OKC,OKC,Will Rogers World Airport,P-S,2094708
263,Ohio,Stillwater,KSWO,SWO,SWO,Stillwater Regional Airport,P-N,27321
264,Oklahoma,Tulsa,KTUL,TUL,TUL,Tulsa International Airport,P-S,1482908
265,Oklahoma,Eugene,KEUG,EUG,EUG,Mahlon Sweet Field,P-S,566832
266,Oklahoma,Medford,KMFR,MFR,MFR,Rogue Valley International–Medford Airport,P-S,492217
267,Oklahoma,North Bend,KOTH,OTH,OTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,12369
268,Oregon,Portland,KPDX,PDX,PDX,Portland International Airport,P-M,9804868
269,Oregon,Redmond,KRDM,RDM,RDM,Roberts Field,P-S,430562
270,Oregon,Allentown,KABE,ABE,ABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),P-S,376468
271,Oregon,Erie,KERI,ERI,ERI,Erie International Airport (Tom Ridge Field),P-N,95342
272,Oregon,Harrisburg,KMDT,MDT,MDT,Harrisburg International Airport,P-S,636756
273,Pennsylvania,Latrobe,KLBE,LBE,LBE,Arnold Palmer Regional Airport,P-N,151410
274,Pennsylvania,Philadelphia,KPHL,PHL,PHL,Philadelphia International Airport,P-L,15292670
275,Pennsylvania,Pittsburgh,KPIT,PIT,PIT,Pittsburgh International Airport,P-M,4670033
276,Pennsylvania,State College,KUNV,UNV,SCE,University Park Airport,P-N,153571
277,Pennsylvania,Wilkes-Barre / Scranton,KAVP,AVP,AVP,Wilkes-Barre/Scranton International Airport,P-N,258628
278,Pennsylvania,Block Island,KBID,BID,BID,Block Island State Airport,P-N,16809
279,Pennsylvania,Providence,KPVD,PVD,PVD,Rhode Island T. F. Green International Airport,P-S,2117409
280,Pennsylvania,Westerly,KWST,WST,WST,Westerly State Airport,P-N,17694
376,Puerto Rico,Charleston,KCHS,CHS,CHS,Charleston International Airport / Charleston AFB,P-M,2192893
377,Puerto Rico,Columbia,KCAE,CAE,CAE,Columbia Metropolitan Airport,P-S,566660
378,Puerto Rico,Florence,KFLO,FLO,FLO,Florence Regional Airport,P-N,44333
379,Puerto Rico,Greenville,KGSP,GSP,GSP,Greenville–Spartanburg International Airport (Roger Milliken Field),P-S,1133012
380,Puerto Rico,Hilton Head,KHXD,HXD,HHH,Hilton Head Airport,P-N,36308
381,Puerto Rico,Myrtle Beach,KMYR,MYR,MYR,Myrtle Beach International Airport,P-S,1254307
382,Puerto Rico,Aberdeen,KABR,ABR,ABR,Aberdeen Regional Airport,P-N,28404
281,Rhode Island,Pierre,KPIR,PIR,PIR,Pierre Regional Airport,P-N,30124
282,Rhode Island,Rapid City,KRAP,RAP,RAP,Rapid City Regional Airport,P-S,303471
283,Rhode Island,Sioux Falls,KFSD,FSD,FSD,Joe Foss Field,P-S,529895
284,South Carolina,Watertown,KATY,ATY,ATY,Watertown Regional Airport,P-N,12064
285,South Carolina,Chattanooga,KCHA,CHA,CHA,Lovell Field,P-S,504833
286,South Carolina,Knoxville,KTYS,TYS,TYS,McGhee Tyson Airport,P-S,1069565
287,South Carolina,Memphis,KMEM,MEM,MEM,Memphis International Airport,P-M,2213083
288,South Carolina,Nashville,KBNA,BNA,BNA,Nashville International Airport (Berry Field),P-L,8017347
289,South Carolina,Tri-Cities,KTRI,TRI,TRI,Tri-Cities Airport,P-N,200086
290,South Dakota,Abilene,KABI,ABI,ABI,Abilene Regional Airport,P-N,77229
291,South Dakota,Amarillo,KAMA,AMA,AMA,Rick Husband Amarillo International Airport,P-N,355705
292,South Dakota,Austin,KAUS,AUS,AUS,Austin–Bergstrom International Airport,P-L,7714479
293,South Dakota,Beaumont,KBPT,BPT,BPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,27694
294,South Dakota,Brownsville,KBRO,BRO,BRO,Brownsville/South Padre Island International Airport,P-N,115711
295,Tennessee,College Station,KCLL,CLL,CLL,Easterwood Field,P-N,79309
296,Tennessee,Corpus Christi,KCRP,CRP,CRP,Corpus Christi International Airport,P-N,332499
297,Tennessee,Dallas,KDAL,DAL,DAL,Dallas Love Field,P-M,8011221
298,Tennessee,Dallas,KDFW,DFW,DFW,Dallas Fort Worth International Airport,P-L,32821799
299,Tennessee,Del Rio,KDRT,DRT,DRT,Del Rio International Airport,P-N,2712
